,user,window,mood,arousal,valence,activity,predicted_mood
138,AS14.05,2014-04-16-2014-04-20,7.140000000000001,-0.39,0.8400000000000001,0.08642505531416825,7.2
139,AS14.05,2014-04-17-2014-04-21,7.140000000000001,-0.39,0.8800000000000001,0.08565066069715635,7.2
140,AS14.05,2014-04-18-2014-04-22,7.26,-0.39,0.96,0.07521256552377517,7.2
141,AS14.05,2014-04-19-2014-04-23,7.2,-0.64,0.96,0.06836846345677969,7.2
142,AS14.05,2014-04-20-2014-04-24,7.2,-0.63,1.0,0.06406527872687066,7.2
143,AS14.05,2014-04-21-2014-04-25,7.2,-0.63,1.0,0.06679922448216283,7.8
144,AS14.05,2014-04-22-2014-04-26,7.32,-0.6699999999999999,1.0,0.0864770050583515,7.4
145,AS14.05,2014-04-23-2014-04-27,7.360000000000001,-0.8699999999999999,1.0,0.07767190568642088,7.0
146,AS14.05,2014-04-24-2014-04-28,7.32,-0.79,1.0,0.06354345181431909,6.8
147,AS14.05,2014-04-25-2014-04-29,7.239999999999999,-0.56,0.96,0.06390225800645524,7.0
148,AS14.05,2014-04-26-2014-04-30,7.2,-0.44000000000000006,0.96,0.06641341726732294,6.8
149,AS14.05,2014-04-27-2014-05-01,7.0,-0.31999999999999995,0.96,0.03143860010011214,7.0
150,AS14.05,2014-04-28-2014-05-02,6.92,-0.24,0.96,0.029037551580003547,6.75
151,AS14.05,2014-04-29-2014-05-03,6.87,-0.06999999999999999,0.96,0.037870796371887346,7.0
152,AS14.05,2014-04-30-2014-05-04,6.909999999999999,-0.1,1.0,0.044153843928709136,6.333333333333332
153,AS14.06,2014-03-24-2014-03-28,7.32,-0.12999999999999998,0.6300000000000001,0.12410050794340428,7.8
154,AS14.06,2014-03-25-2014-03-29,7.4799999999999995,0.07,0.8300000000000001,0.13773030448567708,7.8
155,AS14.06,2014-03-26-2014-03-30,7.640000000000001,0.11000000000000001,0.8699999999999999,0.1524481574388242,7.0
156,AS14.06,2014-03-27-2014-03-31,7.44,-0.030000000000000006,0.6499999999999999,0.15745671822391208,7.75
157,AS14.06,2014-03-28-2014-04-01,7.590000000000001,-0.08,0.75,0.17616172186421744,6.8
